ID;AñoNac;Educación;EstadoCivil;NiñosPeq;Adolescentes;FechaRegistro;Recencia;GastoVinos;GastoFrutas;GastoCarnes;GastoPescados;GastoDulces;GastoOro;ComprasDesc;ComprasWeb;ComprasCatálogo;ComprasTienda;VisitasWebMes;AceptóCmp3;AceptóCmp4;AceptóCmp5;AceptóCmp1;AceptóCmp2;Quejas;CostoContacto;Ingresos;Respuesta
5376;1979;Graduation;Married;1;0;6/01/2013;42;1;1;1725;1;1;1;15;0;28;0;1;0;0;0;0;0;1;3;1658;0
1993;1949;PhD;Married;0;1;23/12/2012;63;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;6;4240;0
4047;1954;PhD;Married;0;1;11/01/2014;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;1;3;1086;0
1409;1951;Graduation;Together;0;1;18/03/2013;69;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;10;660;0
7892;1969;Graduation;Single;0;0;2/01/2013;89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;1;8;7680;0
2404;1976;Graduation;Married;1;1;27/05/2013;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;1;3;1965;0
5255;1986;Graduation;Single;1;0;20/02/2013;19;5;1;3;3;263;362;0;27;0;0;1;0;0;0;0;0;1;4;4155;0
9422;1989;Graduation;Married;1;0;31/05/2013;26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;2;7995;0
1966;1965;PhD;Married;0;0;22/11/2013;96;684;100;801;21;66;0;1;6;9;10;2;0;0;1;0;0;1;5;7572;0
6864;1989;Master;Divorced;0;0;22/05/2014;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;4;6674;0
3033;1963;Master;Together;0;0;11/05/2013;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;1;1;824;0
5710;1970;Graduation;Together;0;1;10/10/2012;31;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;2;1580;0
7373;1952;PhD;Divorced;0;2;29/10/2012;8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;1;7503;1
8755;1946;Master;Married;0;0;20/02/2013;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;1;7;617;0
10738;1951;Master;Single;1;1;29/08/2013;55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;1;8;5318;0
4339;1970;PhD;Married;0;1;31/12/2013;37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;6;6508;0
10755;1976;2n Cycle;Married;1;0;2/09/2013;76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;10;2078;0
8595;1973;Graduation;Widow;0;1;11/02/2014;99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;1;3135;0
2968;1943;PhD;Divorced;0;0;1/02/2013;53;437;8;206;160;49;42;2;7;10;5;6;1;0;0;0;0;0;4;1501;1
8601;1980;Graduation;Married;0;1;29/04/2013;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;9;7963;0
503;1985;Master;Married;1;0;12/03/2013;88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;1;6;2758;0
8430;1957;Graduation;Together;0;1;24/12/2012;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;1;3;2411;0
7281;1959;PhD;Single;0;0;5/11/2013;80;81;11;50;3;2;39;1;1;3;4;2;0;0;0;0;0;0;10;2874;0
2139;1975;Master;Married;1;0;2/10/2013;19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;1;9;897;0
1371;1976;Graduation;Single;0;0;28/06/2014;72;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;8;5995;0
9909;1996;2n Cycle;Married;0;0;9/11/2012;24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;1;1;5057;1
7286;1968;Graduation;Together;1;0;24/05/2013;92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;3;5556;0
7244;1951;Graduation;Single;2;1;1/01/2014;96;48;5;48;6;10;7;3;2;1;4;6;0;0;0;0;0;0;2;6842;0
6566;1954;PhD;Married;1;1;8/11/2012;39;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;6;1344;0
8614;1957;Graduation;Widow;0;1;12/05/2014;29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;1;6;5577;0
4114;1964;Master;Married;0;0;11/08/2012;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;1;8;2531;0
1331;1977;Graduation;Single;1;0;2/01/2013;54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;1;7;2530;0
2225;1977;Graduation;Divorced;0;0;7/06/2014;54;510;120;550;156;40;241;1;4;9;7;1;1;0;0;1;0;0;10;4668;1
9381;1978;Graduation;Married;1;1;12/06/2013;57;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;1;3;7558;0
6260;1955;Master;Together;0;0;19/11/2012;55;984;51;432;180;120;190;1;3;10;13;1;0;0;1;0;0;0;3;5717;1
10383;1966;Graduation;Divorced;0;0;2/04/2013;30;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;1;4;3002;1
7437;1988;Graduation;Single;1;0;28/04/2014;31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;2;2179;0
8557;1982;Graduation;Single;1;0;17/06/2013;57;11;3;22;2;2;6;2;2;0;3;6;0;0;0;0;0;1;3;5854;0
8375;1968;PhD;Married;0;1;3/03/2014;63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;5;5767;0
6853;1982;Master;Single;0;0;4/07/2013;12;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;6;5184;1
3076;1975;Graduation;Together;1;1;7/09/2012;18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;6;1703;0
1012;1952;Graduation;Single;0;1;18/02/2013;26;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;4;3393;0
6518;1951;PhD;Widow;0;1;11/06/2013;8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;1;1;525;0
4137;1948;Graduation;Together;0;0;6/12/2013;29;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;7;7722;0
8082;1971;Graduation;Married;1;0;21/05/2013;75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;5;4518;1
1386;1967;Graduation;Together;1;1;11/05/2014;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;1;10;5036;0
9369;1979;2n Cycle;Single;0;1;19/03/2014;19;688;14;309;201;24;38;1;11;10;10;5;1;0;0;1;0;1;8;3647;1
4477;1958;Graduation;Together;0;1;27/09/2013;4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;10;3914;0
1357;1970;Graduation;Together;1;2;8/04/2013;90;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;8;701;0
1402;1954;Master;Married;0;0;11/09/2012;1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;1;10;4096;0
10629;1973;2n Cycle;Married;1;0;14/09/2012;25;25;3;43;17;4;17;3;3;0;3;8;0;0;0;0;0;0;4;5926;0
6312;1959;Graduation;Married;0;1;17/03/2013;29;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;1;8;2809;0
8132;1975;PhD;Married;1;1;5/04/2013;88;565;6;65;0;6;19;5;9;2;8;7;0;1;0;0;0;1;5;7375;0
1050;1952;Graduation;Married;0;0;30/04/2014;58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;3;1249;0
5846;1977;Graduation;Divorced;1;0;19/12/2012;68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;1;4;3398;0
1859;1972;Master;Married;0;0;27/08/2012;34;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;8;4032;1
7503;1976;Graduation;Single;0;0;12/10/2012;40;1032;105;779;137;105;51;0;5;8;9;4;1;0;0;0;0;1;9;1307;1
10401;1976;2n Cycle;Together;0;0;4/09/2013;12;1;0;5;0;3;9;1;0;0;3;3;0;0;0;0;0;1;8;3703;0
1618;1965;Graduation;Together;0;0;2/01/2013;9;577;0;64;0;0;51;2;10;1;8;8;1;0;0;0;0;1;6;5352;1
3332;1985;Graduation;Single;1;0;29/08/2012;87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;1;4;6501;0
2261;1969;Graduation;Married;1;0;23/06/2013;5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;7;5632;0
5346;1973;2n Cycle;Married;1;0;3/07/2013;87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;10;3384;0
4119;1963;Master;Together;0;0;11/05/2013;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;9;515;0
535;1987;Graduation;Divorced;0;0;25/02/2014;18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;1;10;3473;0
5268;1960;Graduation;Married;1;1;11/08/2013;95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;10;7565;0
273;1970;Master;Married;1;1;16/07/2013;48;130;0;16;0;0;5;5;3;1;4;7;0;1;0;0;0;0;2;875;0
4452;1957;Graduation;Single;0;1;28/05/2014;3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;1;0;1;7;961;1
8504;1973;Graduation;Married;0;0;12/05/2014;70;350;60;568;110;133;145;1;5;6;7;2;0;0;1;0;0;1;6;2514;0
771;1967;Graduation;Together;0;1;21/01/2014;79;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;2;3291;0
8996;1957;PhD;Married;2;1;19/11/2012;4;230;42;192;49;37;53;12;7;2;8;9;0;0;0;0;0;0;8;6984;0
9235;1957;Graduation;Single;1;1;27/05/2014;45;7;0;8;2;0;1;1;1;0;2;7;0;0;0;0;0;0;6;6549;0
5798;1973;Master;Together;0;0;23/11/2013;87;445;37;359;98;28;18;1;2;4;8;1;0;0;0;0;0;1;9;1232;0
11178;1972;Master;Single;1;0;23/03/2014;69;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;9;2824;0
2230;1970;PhD;Married;1;0;24/05/2014;84;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;3;6546;0
7516;1983;Graduation;Married;1;0;22/05/2014;30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;10;2279;0
7247;1960;Graduation;Widow;0;1;22/11/2012;72;505;0;26;0;0;75;5;7;4;6;6;0;1;0;0;0;0;1;4714;0
11100;1972;Graduation;Divorced;1;1;11/04/2013;37;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;2;5290;0
4646;1951;2n Cycle;Married;0;0;1/12/2013;44;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;1;9;6532;0
3037;1983;PhD;Married;0;0;20/06/2013;32;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;1;4;2887;0
1473;1960;2n Cycle;Single;0;1;23/07/2013;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;1;6;6040;0
1016;1959;PhD;Single;0;1;30/03/2014;43;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;9;3159;0
4518;1979;Graduation;Together;0;1;20/04/2013;59;386;172;183;185;132;111;2;9;5;11;5;0;0;0;0;0;0;3;2690;0
9370;1945;PhD;Married;0;0;17/05/2013;68;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;6;3195;0
8908;1959;Graduation;Married;0;0;8/05/2014;35;217;76;690;50;26;38;1;3;11;5;1;0;0;0;0;0;1;3;2031;1
8373;1979;Basic;Together;1;0;10/12/2013;94;1;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;1;9;1410;0
7533;1964;Graduation;Married;1;1;24/09/2013;15;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;10;1440;0
2683;1969;Graduation;Married;0;2;2/02/2013;56;295;106;271;75;98;65;4;6;4;12;6;0;0;0;0;0;1;9;1865;0
3629;1978;Graduation;Single;1;0;19/12/2012;17;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;6;7559;0
10991;1960;Master;Married;0;0;7/12/2012;18;454;194;106;31;22;43;1;5;4;4;2;0;0;0;0;0;0;2;3984;0
5077;1979;Graduation;Together;0;1;2/11/2013;46;425;115;292;23;35;79;1;6;6;11;3;0;0;0;0;0;0;9;3177;0
7431;1991;PhD;Single;0;0;10/11/2012;40;1332;17;311;23;51;86;1;7;4;5;9;0;1;0;0;0;0;9;1257;1
3267;1963;Master;Together;0;1;25/06/2014;27;527;0;21;0;0;60;3;8;1;8;6;0;1;0;0;0;1;4;5702;0
999;1991;Graduation;Single;0;0;2/01/2013;95;490;44;125;29;20;22;1;6;7;11;3;0;1;1;0;0;0;7;5734;1
9215;1980;PhD;Married;1;0;12/12/2012;19;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;3;1769;0
2286;1962;Graduation;Single;1;1;10/09/2013;27;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;3;1540;0
1592;1970;Graduation;Married;0;0;24/01/2014;25;547;99;812;151;82;33;0;4;6;5;1;0;0;1;1;0;0;7;6080;0
367;1978;2n Cycle;Married;1;0;19/02/2013;74;47;90;94;123;103;120;5;9;1;5;9;0;0;0;0;0;1;4;581;0
5234;1967;2n Cycle;Together;1;1;11/07/2013;85;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;8;7853;0
9862;1969;Graduation;Together;1;0;14/11/2013;37;1;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;10;1623;0
9805;1953;Master;Together;0;1;20/06/2013;65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;1;7;1186;0
6205;1967;Master;Single;1;0;24/02/2014;13;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;9;3207;1
8442;1985;Master;Married;2;0;4/09/2013;63;9;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;1;10;6109;0
7386;1976;Graduation;Divorced;1;0;22/04/2013;83;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;6;758;0
7215;1983;Graduation;Single;0;0;12/03/2013;69;722;27;102;44;72;168;0;6;8;13;2;0;1;1;1;0;0;3;7013;1
1491;1965;2n Cycle;Together;0;0;18/02/2013;87;162;33;124;40;28;172;2;3;4;7;1;0;0;0;0;0;1;10;6150;0
11071;1984;Graduation;Single;0;0;21/04/2013;37;450;133;951;173;0;216;1;3;6;6;1;0;0;0;0;0;0;4;6567;1
3381;1953;Master;Married;1;1;8/06/2014;51;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;4;760;0
8268;1961;PhD;Married;0;1;11/07/2013;23;352;0;27;10;0;15;3;6;1;7;6;0;0;0;0;0;0;4;5532;0
11051;1956;PhD;Together;1;1;10/05/2014;72;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;10;4604;0
8026;1952;Graduation;Married;0;1;30/09/2013;10;120;58;73;65;89;58;5;5;4;5;5;0;0;0;0;0;1;1;5491;0
433;1958;Master;Alone;1;1;10/03/2013;42;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;1;1;7341;0
9597;1969;Graduation;Married;0;0;10/02/2014;10;236;106;189;23;41;130;1;7;2;9;4;0;0;0;0;0;1;3;4307;0
1295;1963;Graduation;Married;0;1;11/08/2013;96;231;65;196;38;71;124;1;6;5;7;4;0;0;0;0;0;1;4;7763;0
5290;1964;PhD;Married;1;1;14/08/2013;51;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;4;1016;0
1685;1967;PhD;Together;0;0;17/03/2013;21;796;14;590;38;44;0;1;4;5;13;3;0;1;0;0;0;1;10;3897;0
5342;1976;Basic;Divorced;1;0;8/08/2012;31;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;5;1234;0
9579;1959;PhD;Married;2;1;7/07/2013;61;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;2;1671;0
7660;1973;PhD;Alone;1;1;19/05/2014;37;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;1;7;940;1
1461;1965;PhD;Divorced;1;1;28/07/2013;74;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;1;1;1857;0
821;1992;Master;Single;0;0;19/10/2012;46;962;61;921;52;61;20;1;5;4;12;2;0;0;0;0;0;0;7;5599;0
11084;1976;Master;Together;0;1;14/11/2013;4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;1;4;5503;1
8690;1962;Graduation;Married;0;0;19/04/2013;73;399;28;756;36;40;126;1;5;7;10;2;0;0;0;0;0;1;6;5049;0
2937;1974;PhD;Single;0;1;28/08/2013;47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;1;9;5084;0
9701;1988;Graduation;Together;1;0;19/03/2013;13;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;1;4209;0
9949;1976;Graduation;Married;0;2;18/10/2012;36;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;4;7180;0
10837;1975;Graduation;Married;1;0;28/10/2012;47;2;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;1;3;6938;1
3120;1981;Graduation;Together;1;0;28/08/2013;49;6;1;10;0;1;4;1;1;0;2;8;0;0;0;0;0;0;6;5481;0
5885;1973;2n Cycle;Married;2;1;22/08/2012;94;73;3;90;12;1;32;7;4;1;4;8;0;0;0;0;0;1;1;7081;0
4050;1966;Master;Married;0;0;21/06/2014;65;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;10;5293;0
3830;1953;Master;Married;0;2;24/04/2014;59;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;8;3032;0
7987;1969;Graduation;Married;0;1;7/03/2014;96;346;17;48;23;13;13;4;8;1;6;6;0;1;0;0;0;1;10;7572;0
7798;1972;2n Cycle;Together;0;1;14/12/2012;28;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;2;7732;0
92;1988;Graduation;Alone;1;0;12/05/2014;12;5;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;1;1;6303;0
7055;1952;PhD;Together;0;1;9/10/2012;57;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;1;9;7249;0
10240;1949;Graduation;Together;0;0;19/02/2013;10;997;26;269;34;13;42;1;10;4;6;4;0;1;1;0;0;0;9;2924;1
3025;1958;Graduation;Single;0;1;8/07/2013;4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;9;2081;0
9283;1978;Graduation;Single;1;2;12/09/2013;49;8;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;1;1177;0
9970;1977;Graduation;Together;0;1;17/10/2013;3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;1;4;6640;0
2730;1955;Graduation;Single;0;0;20/08/2013;64;536;11;387;149;91;57;1;3;4;10;1;0;0;0;0;0;0;10;6127;0
2795;1958;Master;Single;2;1;1/07/2013;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;6;4484;0
9260;1945;PhD;Married;0;0;5/11/2012;20;1349;16;249;43;16;33;2;10;6;9;6;0;0;0;0;0;1;2;4908;0
8182;1984;Graduation;Married;1;0;5/01/2014;91;53;3;49;7;4;5;4;3;0;4;8;0;0;0;0;0;0;8;3933;0
10095;1975;PhD;Divorced;0;0;1/05/2013;9;1001;12;240;16;12;12;1;5;4;10;2;0;0;0;0;0;0;8;3746;0
8475;1973;PhD;Married;0;1;1/03/2014;98;20;2;1582;1;2;1;15;0;22;0;0;0;0;0;0;0;0;7;1171;0
4370;1966;Graduation;Together;2;1;13/11/2013;83;18;1;32;6;3;28;3;2;0;4;6;0;0;0;0;0;0;1;7030;0
10573;1953;Graduation;Divorced;0;0;18/11/2013;27;125;16;98;134;21;27;1;6;7;4;3;1;0;0;0;0;0;5;4039;0
3712;1959;Graduation;Divorced;0;0;28/08/2013;63;212;5;33;7;0;2;1;3;2;6;4;0;1;0;0;0;1;10;4980;0
6637;1988;Graduation;Single;0;0;2/11/2013;46;277;162;305;173;76;124;1;3;4;7;1;0;0;0;0;0;1;7;2986;0
3152;1957;Graduation;Together;1;1;25/02/2014;84;15;10;19;8;17;20;3;2;1;3;5;0;0;0;0;0;0;6;3276;0
5610;1965;Graduation;Together;1;1;21/04/2014;58;7;3;10;8;1;7;2;1;0;3;7;0;0;0;0;0;1;6;5764;0
6460;1982;Graduation;Married;1;0;13/07/2013;78;12;4;6;11;8;16;2;2;0;3;8;0;0;0;0;0;1;6;7919;0
1349;1970;Graduation;Married;2;0;21/04/2014;4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;1;2;1972;0
1880;1959;PhD;Together;1;1;30/01/2014;17;81;0;6;0;0;6;2;2;1;3;5;0;0;0;0;0;1;10;1563;0
641;1967;Graduation;Single;0;1;4/04/2014;77;59;0;12;0;0;48;1;2;2;2;4;1;0;0;0;0;1;3;2406;0
8717;1975;PhD;Married;0;1;12/09/2012;56;1149;71;449;69;71;26;1;11;8;8;5;0;0;0;0;0;1;4;4808;0
10314;1948;PhD;Married;0;0;16/12/2012;79;847;66;119;86;89;111;1;9;10;5;4;0;1;0;1;0;1;8;6999;1
10854;1970;PhD;Married;1;1;23/05/2014;90;29;0;14;0;0;2;2;2;0;3;7;0;0;0;0;0;0;10;7325;0
10492;1959;Graduation;Together;2;1;24/06/2014;96;2;0;5;2;0;1;1;0;0;3;2;0;0;0;0;0;1;6;6635;0
6935;1951;2n Cycle;Married;0;0;1/12/2013;44;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;0;8;6831;0
7698;1976;PhD;Married;0;1;11/05/2014;81;152;3;22;2;5;7;1;4;1;4;5;0;0;0;0;0;1;2;3705;0
3559;1988;2n Cycle;Married;1;0;10/05/2014;77;12;11;10;3;12;9;3;2;1;3;6;0;0;0;0;0;0;9;5446;0
10562;1946;Master;Married;0;0;28/09/2013;21;620;26;195;34;17;141;1;6;4;13;2;0;0;0;0;0;1;5;7777;0
10796;1984;Master;Married;1;0;22/01/2014;16;47;1;6;0;0;12;1;1;1;3;6;0;0;0;0;0;0;6;696;0
2563;1961;Basic;Married;0;0;15/06/2014;80;1;9;7;2;14;10;1;2;0;3;6;0;0;0;0;0;0;8;2970;0
3518;1983;Graduation;Married;1;0;5/12/2012;45;10;1;18;10;4;7;1;1;1;2;9;0;0;0;0;0;0;6;1496;0
5823;1970;PhD;Single;0;1;8/03/2014;63;35;0;2;0;0;2;2;1;0;4;5;0;0;0;0;0;0;8;1132;0
3934;1966;Graduation;Married;0;1;2/08/2013;34;356;0;107;19;9;117;2;7;1;8;5;0;0;0;0;0;0;8;525;0
6982;1976;Graduation;Married;0;0;19/03/2013;14;783;30;537;140;76;15;1;4;10;9;2;0;0;0;0;0;1;5;7546;0
6431;1964;PhD;Married;1;1;23/02/2013;13;42;1;18;3;0;4;2;2;0;3;7;0;0;0;0;0;0;4;4638;0
9733;1978;Basic;Together;1;0;9/09/2012;52;1;4;10;29;0;36;1;1;1;2;6;1;0;0;0;0;0;5;1762;0
5602;1989;PhD;Together;0;0;17/05/2013;98;466;22;432;147;113;102;1;8;7;12;3;0;0;0;0;0;1;10;3970;0
7829;1900;2n Cycle;Divorced;1;0;26/09/2013;99;15;6;8;7;4;25;1;2;1;2;5;0;0;0;0;0;1;6;1519;0
1324;1988;Graduation;Married;1;0;30/05/2013;93;23;3;21;3;19;22;2;3;0;3;8;0;0;0;0;0;0;8;5696;0
326;1973;Graduation;Married;1;1;18/02/2013;38;235;6;45;8;9;12;4;5;1;6;6;0;0;0;0;0;1;3;949;0
7224;1977;Graduation;Married;1;1;29/12/2013;24;10;0;10;3;1;7;2;1;1;2;8;0;0;0;0;0;0;5;1973;0
6999;1980;Master;Married;0;0;13/05/2014;80;656;16;106;32;16;8;1;7;3;12;3;0;0;0;0;0;1;7;4563;0
9938;1954;Graduation;Married;0;0;19/09/2013;82;519;17;813;27;173;51;1;4;6;6;2;0;0;1;0;0;1;10;5010;0
6422;1954;Graduation;Married;0;0;17/01/2013;20;344;189;482;50;33;172;1;5;6;5;2;0;0;0;0;0;0;1;7121;0
3182;1973;PhD;Single;1;1;31/03/2014;81;96;1;79;7;1;79;6;5;1;3;8;1;0;0;0;0;0;4;3672;1
